Species,Treatment,Core,Timepoint,Sym.Host.old,Sym.Host,logSH,Y2,PropD.old,PropD,Batch,DHW,Recov.Days,Date,InitialDom,PropDAv,Colony
S.siderea,Bleached,2-16-c,Post-bleach,0.001050186,1.96E-05,-4.706646098,3.58E-01,1,1,2,9.36,NaN,12/12/2019,D,0.998917672,16
S.siderea,Bleached,2-16-c,Pre-bleach,0.032525553,0.000684776,-3.164451599,0.532,0.970730473,0.862705922,2,0,NaN,17/11/2019,D,0.952448892,16
S.siderea,Bleached,2-16-c,Pre-outplant,0.071936117,0.001345968,-2.870965185,0.215,1,1,2,NaN,85,05/03/2020,D,1,16
S.siderea,Bleached,2-16-c,Recovery,0.023878567,0.000446782,-3.349903908,0.16,1,1,2,NaN,31,12/01/2020,D,1,16
S.siderea,Bleached,2-16-d,Post-bleach,0,0,-6.5,3.08E-01,NaN,NA,2,9.36,NaN,12/12/2019,D,0.998917672,16
S.siderea,Bleached,2-16-d,Pre-bleach,0.048453004,0.001107825,-2.955528666,0.529,0.948112505,0.775884498,2,0,NaN,17/11/2019,D,0.952448892,16
S.siderea,Bleached,2-16-d,Pre-outplant,0.123053713,0.002302409,-2.637817453,0.15,1,1,2,NaN,85,05/03/2020,D,1,16
S.siderea,Bleached,2-16-d,Recovery,0.065306033,0.001221915,-2.912958869,0.137,1,1,2,NaN,31,12/01/2020,D,1,16
S.siderea,Bleached,2-18-a,Post-bleach,0,0,-6.5,0.309,NaN,NA,1,13.64,NaN,03/07/2019,D,0.998917672,18
S.siderea,Bleached,2-18-a,Pre-bleach,0.050169841,0.000965353,-3.01531396,0.518,0.993365072,0.96594721,1,0,NaN,22/05/2019,D,0.952448892,18
S.siderea,Bleached,2-18-a,Pre-outplant,0.031333725,0.000586273,-3.231900149,0.19,1,1,1,NaN,42,14/08/2019,D,1,18
S.siderea,Bleached,2-18-a,Recovery,0.015323186,0.000286706,-3.542563105,0.155,1,1,1,NaN,31,03/08/2019,D,1,18
S.siderea,Control,2-18-b,Post-bleach,0.150033866,0.002807224,-2.551722874,NA,1,1,1,NaN,NaN,07/06/2019,NA,NA,18
